timestamp,pid,name,cpu_percent,memory_mb
2025-09-09 17:55:10.393798,872,SiriSuggestionsBookkeepingService,0.0,14.59375
2025-09-09 17:55:10.393831,873,com.apple.geod,0.0,11.671875
2025-09-09 17:55:10.393921,877,axassetsd,0.0,11.34375
2025-09-09 17:55:10.393962,878,pbs,0.0,5.609375
2025-09-09 17:55:10.394035,880,WindowManager,0.0,23.890625
2025-09-09 17:55:10.394079,882,AudioComponentRegistrar,0.0,4.0
2025-09-09 17:55:10.394108,883,calaccessd,0.0,19.015625
2025-09-09 17:55:10.394137,884,ContextService,0.0,3.953125
2025-09-09 17:55:10.394207,888,com.apple.hiservices-xpcservice,0.0,3.71875
2025-09-09 17:55:10.394267,890,talagentd,0.0,9.609375
2025-09-09 17:55:10.394296,893,progressd,0.0,4.359375
2025-09-09 17:55:10.394338,894,ProtectedCloudKeySyncing,0.0,7.71875
2025-09-09 17:55:10.394376,895,Keychain Circle Notification,0.0,8.015625
2025-09-09 17:55:10.394787,899,transparencyd,0.0,22.796875
2025-09-09 17:55:10.394866,907,ContainerMetadataExtractor,0.0,14.34375
2025-09-09 17:55:10.394910,908,NotificationCenter,0.0,55.640625
2025-09-09 17:55:10.394972,909,StatusKitAgent,0.0,12.625
2025-09-09 17:55:10.395234,912,imagent,0.0,22.796875
2025-09-09 17:55:10.395377,913,com.apple.FaceTime.FTConversationService,0.0,3.671875
2025-09-09 17:55:10.395412,914,useractivityd,0.0,16.609375
2025-09-09 17:55:10.395477,915,mediaremoteagent,0.0,2.984375
2025-09-09 17:55:10.395546,916,IMDPersistenceAgent,0.0,28.609375
2025-09-09 17:55:10.395587,917,mdbulkimport,0.0,17.390625
2025-09-09 17:55:10.395638,918,searchpartyuseragent,0.0,20.1875
2025-09-09 17:55:10.395704,919,amsaccountsd,0.0,19.78125
2025-09-09 17:55:10.395752,922,avconferenced,0.0,34.125
2025-09-09 17:55:10.395785,924,amsengagementd,0.0,15.40625
2025-09-09 17:55:10.395957,927,sociallayerd,0.0,7.921875
2025-09-09 17:55:10.395993,928,cloudphotod,0.0,10.671875
2025-09-09 17:55:10.396026,929,passd,0.0,14.375
2025-09-09 17:55:10.396069,932,spotlightknowledged,0.0,12.609375
2025-09-09 17:55:10.396116,934,AssetCacheLocatorService,0.0,8.421875
2025-09-09 17:55:10.396157,944,audioaccessoryd,0.0,15.40625
2025-09-09 17:55:10.396241,949,localizationswitcherd,0.0,7.8125
2025-09-09 17:55:10.396286,950,extensionkitservice,0.0,10.515625
2025-09-09 17:55:10.396329,952,CalendarWidgetExtension,0.0,4.1875
2025-09-09 17:55:10.396369,955,WorldClockWidget,0.0,13.328125
2025-09-09 17:55:10.396403,956,fontd,0.0,11.546875
2025-09-09 17:55:10.396436,957,fontworker,0.0,3.375
2025-09-09 17:55:10.396470,959,UIKitSystem,0.0,15.640625
2025-09-09 17:55:10.396514,960,iconservicesagent,0.0,17.71875
2025-09-09 17:55:10.396557,962,ViewBridgeAuxiliary,0.0,8.109375
2025-09-09 17:55:10.396624,965,WallpaperAgent,0.0,17.859375
2025-09-09 17:55:10.396708,968,MENotificationAgent,0.0,3.234375
2025-09-09 17:55:10.396752,969,BackgroundTaskManagementAgent,0.0,8.21875
2025-09-09 17:55:10.396791,972,intelligentroutingd,0.0,8.25
2025-09-09 17:55:10.396824,977,milod,0.0,10.28125
2025-09-09 17:55:10.396902,979,FindMyWidgetItems,0.0,12.734375
2025-09-09 17:55:10.396945,985,com.apple.CloudPhotosConfiguration,0.0,8.390625
2025-09-09 17:55:10.396987,986,swtransparencyd,0.0,9.515625
2025-09-09 17:55:10.397021,988,ctkahp,0.0,4.375
2025-09-09 17:55:10.397055,994,mdworker,0.0,6.15625
2025-09-09 17:55:10.397094,995,IntentsExtension,0.0,3.421875
2025-09-09 17:55:10.397134,998,SoftwareUpdateNotificationManager,0.0,10.078125
2025-09-09 17:55:10.397168,999,dataaccessd,0.0,17.8125
2025-09-09 17:55:10.397207,1002,com.apple.Notes.WidgetExtension,0.0,4.0625
2025-09-09 17:55:10.397246,1003,CloudTelemetryService,0.0,11.234375
2025-09-09 17:55:10.397280,1004,seserviced,0.0,6.171875
2025-09-09 17:55:10.397310,1005,WeatherIntents,0.0,5.921875
2025-09-09 17:55:10.397353,1006,FindMyWidgetPeople,0.0,12.734375
2025-09-09 17:55:10.397392,1007,CloudTelemetryService,0.0,9.75
2025-09-09 17:55:10.397463,1009,findmydevice-user-agent,0.0,6.59375
2025-09-09 17:55:10.397496,1012,csimporter,0.0,3.53125
2025-09-09 17:55:10.397526,1014,Dock,0.0,32.484375
2025-09-09 17:55:10.397559,1016,SystemUIServer,0.0,14.9375
2025-09-09 17:55:10.397593,1017,Finder,0.0,64.109375
2025-09-09 17:55:10.397638,1020,CursorUIViewService,0.0,17.03125
2025-09-09 17:55:10.397671,1021,Spotlight,0.0,103.4375
2025-09-09 17:55:10.397719,1022,QuickLookUIService,0.0,7.984375
2025-09-09 17:55:10.397761,1023,com.apple.quicklook.ThumbnailsAgent,0.0,32.84375
2025-09-09 17:55:10.397805,1025,VoiceMemosSettingsWidgetExtension,0.0,7.71875
2025-09-09 17:55:10.397882,1027,AMPDeviceDiscoveryAgent,0.0,4.484375
2025-09-09 17:55:10.397926,1033,PlugInLibraryService,0.0,1.4375
2025-09-09 17:55:10.397969,1037,com.apple.CloudDocs.iCloudDriveFileProvider,0.0,15.46875
2025-09-09 17:55:10.398014,1042,SafariLaunchAgent,0.0,3.625
2025-09-09 17:55:10.398054,1043,AuthenticationServicesAgent,0.0,11.71875
2025-09-09 17:55:10.398092,1045,contentlinkingd,0.0,6.984375
2025-09-09 17:55:10.398126,1047,analyticsagent,0.0,3.984375
2025-09-09 17:55:10.398167,1050,com.apple.dock.extra,0.0,17.015625
2025-09-09 17:55:10.398213,1053,CallHistoryPluginHelper,0.0,10.234375
2025-09-09 17:55:10.398251,1057,WallpaperImageExtension,0.0,6.703125
2025-09-09 17:55:10.398285,1062,PodcastsWidget,0.0,8.359375
2025-09-09 17:55:10.398372,1064,diagnostics_agent,0.0,9.421875
2025-09-09 17:55:10.398415,1066,com.apple.Notes.IntentsExtension,0.0,4.1875
2025-09-09 17:55:10.398457,1069,SafariWidgetExtension,0.0,3.671875
2025-09-09 17:55:10.398523,1070,HomeWidget,0.0,13.0
2025-09-09 17:55:10.398571,1071,ShortcutsWidgetExtension,0.0,4.234375
2025-09-09 17:55:10.398691,1074,storekitagent,0.0,10.3125
2025-09-09 17:55:10.398733,1096,heard,0.0,17.0625
2025-09-09 17:55:10.398775,1099,imklaunchagent,0.0,3.671875
2025-09-09 17:55:10.398809,1101,Siri,0.0,12.578125
2025-09-09 17:55:10.398843,1102,icdd,0.0,3.09375
2025-09-09 17:55:10.398881,1103,askpermissiond,0.0,5.421875
2025-09-09 17:55:10.398914,1105,AirPlayUIAgent,0.0,8.21875
2025-09-09 17:55:10.398960,1106,TextInputMenuAgent,0.0,14.828125
2025-09-09 17:55:10.399000,1110,TextInputSwitcher,0.0,9.78125
2025-09-09 17:55:10.399040,1112,PhotosReliveWidget,0.0,4.0625
2025-09-09 17:55:10.399070,1116,photoanalysisd,0.0,14.734375
2025-09-09 17:55:10.399110,1117,RemindersWidgetExtension,0.0,4.171875
2025-09-09 17:55:10.399140,1118,AppleSpell,0.0,25.78125
2025-09-09 17:55:10.399179,1119,keyboardservicesd,0.0,7.71875
2025-09-09 17:55:10.399218,1121,HomeEnergyWidgetsExtension,0.0,13.484375
2025-09-09 17:55:10.399248,1122,parsecd,0.0,14.0625
2025-09-09 17:55:10.399277,1123,commerce,0.0,7.03125
2025-09-09 17:55:10.399307,1125,itunescloudd,0.0,10.921875
2025-09-09 17:55:10.399346,1130,naturallanguaged,0.0,6.140625
2025-09-09 17:55:10.399386,1135,RemindersIntentsExtension,0.0,4.25
2025-09-09 17:55:10.399416,1146,appstoreagent,0.0,17.578125
2025-09-09 17:55:10.399454,1153,CallHistorySyncHelper,0.0,13.546875
2025-09-09 17:55:10.399493,1157,promotedcontentd,0.0,9.0625
